country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Belarus,E_coli_3GC,2017,E_coli,3GC,41.66666666666667,24.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,-4.999999999999993,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_coli_3GC,2018,E_coli,3GC,43.333333333333336,60.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,41.66666666666667,46.666666666666664,46.666666666666664,44.16666666666667,1.6666666666666643,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_coli_AMG,2017,E_coli,AMG,12.5,16.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,-4.166666666666664,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_coli_AMG,2018,E_coli,AMG,20.0,40.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,12.5,16.666666666666664,16.666666666666664,14.583333333333332,7.5,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_coli_CARB,2017,E_coli,CARB,0.0,8.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_coli_CARB,2018,E_coli,CARB,0.0,20.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_coli_FQ,2017,E_coli,FQ,50.0,8.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,60.0,60.0,60.0,60.0,-10.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_coli_FQ,2018,E_coli,FQ,15.0,20.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,50.0,60.0,60.0,55.0,-35.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_coli_OTHER,2017,E_coli,OTHER,0.0,8.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_coli_OTHER,2018,E_coli,OTHER,0.0,20.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_coli_TET,2017,E_coli,TET,16.666666666666664,24.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,30.0,30.0,30.0,30.0,-13.333333333333336,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_coli_TET,2018,E_coli,TET,26.666666666666668,60.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,16.666666666666664,30.0,30.0,23.333333333333332,10.000000000000004,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_faecium_AMG,2017,E_faecium,AMG,100.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333334,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_faecium_AMP,2017,E_faecium,AMP,100.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333334,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_faecium_FQ,2017,E_faecium,FQ,100.0,2.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,100.0,100.0,100.0,100.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_faecium_TET,2017,E_faecium,TET,66.66666666666666,6.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,12.0,0.3117,3.7403999999999997,0.40722443759677285
