country,risk_score_2030,risk_tier,region,income_group,top_interventions
Malawi,100.0,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Uganda,98.333,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Ghana,88.66666666666667,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Kenya,72.7055,Critical,Sub-Saharan Africa,LMI,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
