country,combo,year,yhat,yhat_lower,yhat_upper,source
India,E_coli_COL,2017,,,,xgboost_fitted
India,E_coli_COL,2018,,,,xgboost_fitted
India,E_coli_COL,2019,,,,xgboost_fitted
India,E_coli_COL,2020,,,,xgboost_fitted
India,E_coli_COL,2021,,,,xgboost_fitted
India,E_coli_COL,2022,,,,xgboost_fitted
India,E_coli_COL,2023,,,,xgboost_fitted
India,K_pneumoniae_CARB,2011,,,,xgboost_fitted
India,K_pneumoniae_CARB,2012,90.0,,,xgboost_fitted
India,K_pneumoniae_CARB,2013,0.0,,,xgboost_fitted
India,K_pneumoniae_CARB,2014,15.776699029126215,,,xgboost_fitted
India,K_pneumoniae_CARB,2015,42.96028880866426,,,xgboost_fitted
India,K_pneumoniae_CARB,2016,23.636363636363637,,,xgboost_fitted
India,K_pneumoniae_CARB,2017,,,,xgboost_fitted
India,K_pneumoniae_CARB,2018,,,,xgboost_fitted
India,K_pneumoniae_CARB,2019,,,,xgboost_fitted
India,K_pneumoniae_CARB,2020,,,,xgboost_fitted
India,K_pneumoniae_CARB,2021,,,,xgboost_fitted
India,K_pneumoniae_CARB,2022,,,,xgboost_fitted
India,K_pneumoniae_CARB,2023,,,,xgboost_fitted
India,K_pneumoniae_COL,2011,,,,xgboost_fitted
India,K_pneumoniae_COL,2012,0.0,,,xgboost_fitted
India,K_pneumoniae_COL,2013,0.0,,,xgboost_fitted
India,K_pneumoniae_COL,2014,6.896551724137931,,,xgboost_fitted
India,K_pneumoniae_COL,2015,0.8620689655172413,,,xgboost_fitted
India,K_pneumoniae_COL,2016,3.225806451612903,,,xgboost_fitted
India,K_pneumoniae_COL,2017,,,,xgboost_fitted
India,K_pneumoniae_COL,2018,,,,xgboost_fitted
India,K_pneumoniae_COL,2019,,,,xgboost_fitted
India,K_pneumoniae_COL,2020,,,,xgboost_fitted
India,K_pneumoniae_COL,2021,,,,xgboost_fitted
India,K_pneumoniae_COL,2022,,,,xgboost_fitted
India,K_pneumoniae_COL,2023,,,,xgboost_fitted
India,P_aeruginosa_CARB,2011,,,,xgboost_fitted
India,P_aeruginosa_CARB,2012,0.0,,,xgboost_fitted
India,P_aeruginosa_CARB,2013,,,,xgboost_fitted
India,P_aeruginosa_CARB,2014,16.037735849056602,,,xgboost_fitted
India,P_aeruginosa_CARB,2015,17.590822179732314,,,xgboost_fitted
India,P_aeruginosa_CARB,2016,54.66417910447762,,,xgboost_fitted
India,P_aeruginosa_CARB,2017,,,,xgboost_fitted
India,P_aeruginosa_CARB,2018,,,,xgboost_fitted
India,P_aeruginosa_CARB,2019,,,,xgboost_fitted
India,P_aeruginosa_CARB,2020,,,,xgboost_fitted
India,P_aeruginosa_CARB,2021,,,,xgboost_fitted
India,P_aeruginosa_CARB,2022,,,,xgboost_fitted
India,P_aeruginosa_CARB,2023,,,,xgboost_fitted
India,P_aeruginosa_COL,2011,,,,xgboost_fitted
India,P_aeruginosa_COL,2012,,,,xgboost_fitted
India,P_aeruginosa_COL,2013,,,,xgboost_fitted
India,P_aeruginosa_COL,2014,0.0,,,xgboost_fitted
India,P_aeruginosa_COL,2015,5.555555555555555,,,xgboost_fitted
India,P_aeruginosa_COL,2016,6.550218340611353,,,xgboost_fitted
India,P_aeruginosa_COL,2017,,,,xgboost_fitted
India,P_aeruginosa_COL,2018,,,,xgboost_fitted
India,P_aeruginosa_COL,2019,,,,xgboost_fitted
India,P_aeruginosa_COL,2020,,,,xgboost_fitted
India,P_aeruginosa_COL,2021,,,,xgboost_fitted
India,P_aeruginosa_COL,2022,,,,xgboost_fitted
India,P_aeruginosa_COL,2023,,,,xgboost_fitted
